mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	-1	3/4	1/16	11/16			1			firstMeasure	2
2	1	1	-1	3/4	3/4	0							3
3	2	2	-1	3/4	3/4	0							4
4	3	3	-1	3/4	3/4	0					line		5
5	4	4	-1	3/4	3/4	0							6
6	5	5	-1	3/4	3/4	0							7
7	6	6	-1	3/4	3/4	0					line		8
8	7	7	-1	3/4	3/4	0							9
9	8	8	-1	3/4	3/4	0							10
10	9	9	-1	3/4	3/4	0					line		11
11	10	10	-1	3/4	3/4	0							12
12	11	11	-1	3/4	3/4	0							13
13	12	12	-1	3/4	3/4	0					line		14
14	13	13	-1	3/4	3/4	0							15
15	14	14	-1	3/4	3/4	0							16
16	15	15	-1	3/4	3/4	0					line		17
17	16	16	-1	3/4	3/4	0							18
18	17	17	-1	3/4	3/4	0							19
19	18	18	-1	3/4	3/4	0					line		20
20	19	19	-1	3/4	3/4	0							21
21	20	20	-1	3/4	3/4	0							22
22	21	21	-1	3/4	3/4	0					line		23
23	22	22	-1	3/4	3/4	0							24
24	23	23	-1	3/4	3/4	0							25
25	24	24	-1	3/4	3/4	0					line		26
26	25	25	-1	3/4	3/4	0							27
27	26	26	-1	3/4	3/4	0							28
28	27	27	-1	3/4	3/4	0							29
29	28	28	-1	3/4	11/16	0					line	end	1, 30
1	0	28	-1	3/4	1/16	11/16			1			firstMeasure	2
2	1	29	-1	3/4	3/4	0							3
3	2	30	-1	3/4	3/4	0							4
4	3	31	-1	3/4	3/4	0					line		5
5	4	32	-1	3/4	3/4	0							6
6	5	33	-1	3/4	3/4	0							7
7	6	34	-1	3/4	3/4	0					line		8
8	7	35	-1	3/4	3/4	0							9
9	8	36	-1	3/4	3/4	0							10
10	9	37	-1	3/4	3/4	0					line		11
11	10	38	-1	3/4	3/4	0							12
12	11	39	-1	3/4	3/4	0							13
13	12	40	-1	3/4	3/4	0					line		14
14	13	41	-1	3/4	3/4	0							15
15	14	42	-1	3/4	3/4	0							16
16	15	43	-1	3/4	3/4	0					line		17
17	16	44	-1	3/4	3/4	0							18
18	17	45	-1	3/4	3/4	0							19
19	18	46	-1	3/4	3/4	0					line		20
20	19	47	-1	3/4	3/4	0							21
21	20	48	-1	3/4	3/4	0							22
22	21	49	-1	3/4	3/4	0					line		23
23	22	50	-1	3/4	3/4	0							24
24	23	51	-1	3/4	3/4	0							25
25	24	52	-1	3/4	3/4	0					line		26
26	25	53	-1	3/4	3/4	0							27
27	26	54	-1	3/4	3/4	0							28
28	27	55	-1	3/4	3/4	0							29
29	28	56	-1	3/4	11/16	0					line	end	1, 30
30	28	56	-1	3/4	1/16	11/16			1	start-repeat		start	31
31	29	57	-1	3/4	3/4	0							32
32	30	58	-1	3/4	3/4	0							33
33	31	59	-1	3/4	3/4	0					line		34
34	32	60	-1	3/4	3/4	0							35
35	33	61	-1	3/4	3/4	0							36
36	34	62	-1	3/4	3/4	0					line		37
37	35	63	-1	3/4	3/4	0							38
38	36	64	-1	3/4	3/4	0							39
39	37	65	-1	3/4	3/4	0					line		40
40	38	66	-1	3/4	3/4	0							41
41	39	67	-1	3/4	3/4	0							42
42	40	68	-1	3/4	3/4	0					line		43
43	41	69	-1	3/4	3/4	0							44
44	42	70	-1	3/4	3/4	0							45
45	43	71	-1	3/4	3/4	0					line		46
46	44	72	-1	3/4	3/4	0							47
47	45	73	-1	3/4	3/4	0							48
48	46	74	-1	3/4	3/4	0					line		49
49	47	75	-1	3/4	3/4	0							50
50	48	76	-1	3/4	3/4	0							51
51	49	77	-1	3/4	3/4	0					line		52
52	50	78	-1	3/4	3/4	0							53
53	51	79	-1	3/4	3/4	0							54
54	52	80	-1	3/4	3/4	0					line		55
55	53	81	-1	3/4	3/4	0							56
56	54	82	-1	3/4	3/4	0							57
57	55	83	-1	3/4	3/4	0					line		58
58	56	84	-1	3/4	3/4	0							59
59	57	85	-1	3/4	3/4	0							60
60	58	86	-1	3/4	3/4	0					line		61
61	59	87	-1	3/4	3/4	0							62
62	60	88	-1	3/4	3/4	0							63
63	61	89	-1	3/4	3/4	0					line		64
64	62	90	-1	3/4	3/4	0							65
65	63	91	-1	3/4	3/4	0							66
66	64	92	-1	3/4	3/4	0					line		67
67	65	93	-1	3/4	3/4	0							68
68	66	94	-1	3/4	3/4	0							69
69	67	95	-1	3/4	3/4	0					line		70
70	68	96	-1	3/4	3/4	0							71
71	69	97	-1	3/4	3/4	0							72
72	70	98	-1	3/4	3/4	0					line		73
73	71	99	-1	3/4	3/4	0							74
74	72	100	-1	3/4	3/4	0							75
75	73	101	-1	3/4	3/4	0							76
76	74	102	-1	3/4	11/16	0				end-repeat	line	end	30, -1
30	28	102	-1	3/4	1/16	11/16			1	start-repeat		start	31
31	29	103	-1	3/4	3/4	0							32
32	30	104	-1	3/4	3/4	0							33
33	31	105	-1	3/4	3/4	0					line		34
34	32	106	-1	3/4	3/4	0							35
35	33	107	-1	3/4	3/4	0							36
36	34	108	-1	3/4	3/4	0					line		37
37	35	109	-1	3/4	3/4	0							38
38	36	110	-1	3/4	3/4	0							39
39	37	111	-1	3/4	3/4	0					line		40
40	38	112	-1	3/4	3/4	0							41
41	39	113	-1	3/4	3/4	0							42
42	40	114	-1	3/4	3/4	0					line		43
43	41	115	-1	3/4	3/4	0							44
44	42	116	-1	3/4	3/4	0							45
45	43	117	-1	3/4	3/4	0					line		46
46	44	118	-1	3/4	3/4	0							47
47	45	119	-1	3/4	3/4	0							48
48	46	120	-1	3/4	3/4	0					line		49
49	47	121	-1	3/4	3/4	0							50
50	48	122	-1	3/4	3/4	0							51
51	49	123	-1	3/4	3/4	0					line		52
52	50	124	-1	3/4	3/4	0							53
53	51	125	-1	3/4	3/4	0							54
54	52	126	-1	3/4	3/4	0					line		55
55	53	127	-1	3/4	3/4	0							56
56	54	128	-1	3/4	3/4	0							57
