mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	1	3	3/4	3/4	0						firstMeasure					2
2	2	2	3	3/4	3/4	0											3
3	3	3	3	3/4	3/4	0											4
4	4	4	3	3/4	3/4	0											5
5	5	5	3	3/4	3/4	0											6
6	6	6	3	3/4	3/4	0											7
7	7	7	3	3/4	3/4	0											8
8	8	8	3	3/4	3/4	0											9
9	9	9	3	3/4	3/4	0											10
10	10	10	3	3/4	3/4	0											11
11	11	11	3	3/4	3/4	0											12
12	12	12	3	3/4	3/4	0											13
13	13	13	3	3/4	3/4	0											14
14	14	14	3	3/4	3/4	0											15
15	15	15	3	3/4	3/4	0											16
16	16	16	3	3/4	3/4	0											17
17	17	17	3	3/4	3/4	0											18
18	18	18	3	3/4	3/4	0						end					1, 19
1	1	19	3	3/4	3/4	0						firstMeasure					2
2	2	20	3	3/4	3/4	0											3
3	3	21	3	3/4	3/4	0											4
4	4	22	3	3/4	3/4	0											5
5	5	23	3	3/4	3/4	0											6
6	6	24	3	3/4	3/4	0											7
7	7	25	3	3/4	3/4	0											8
8	8	26	3	3/4	3/4	0											9
9	9	27	3	3/4	3/4	0											10
10	10	28	3	3/4	3/4	0											11
11	11	29	3	3/4	3/4	0											12
12	12	30	3	3/4	3/4	0											13
13	13	31	3	3/4	3/4	0											14
14	14	32	3	3/4	3/4	0											15
15	15	33	3	3/4	3/4	0											16
16	16	34	3	3/4	3/4	0											17
17	17	35	3	3/4	3/4	0											18
18	18	36	3	3/4	3/4	0						end					1, 19
19	19	37	3	3/4	3/4	0				start-repeat		start					20
20	20	38	3	3/4	3/4	0											21
21	21	39	3	3/4	3/4	0											22
22	22	40	3	3/4	3/4	0											23
23	23	41	3	3/4	3/4	0											24
24	24	42	3	3/4	3/4	0											25
25	25	43	3	3/4	3/4	0											26
26	26	44	3	3/4	3/4	0											27
27	27	45	3	3/4	3/4	0											28
28	28	46	3	3/4	3/4	0											29
29	29	47	3	3/4	3/4	0											30
30	30	48	3	3/4	3/4	0											31
31	31	49	3	3/4	3/4	0											32
32	32	50	3	3/4	3/4	0											33
33	33	51	3	3/4	3/4	0											34
34	34	52	3	3/4	3/4	0											35
35	35	53	3	3/4	3/4	0											36
36	36	54	3	3/4	3/4	0											37
37	37	55	3	3/4	3/4	0											38
38	38	56	3	3/4	3/4	0											39
39	39	57	3	3/4	3/4	0											40
40	40	58	3	3/4	3/4	0											41
41	41	59	3	3/4	3/4	0											42
42	42	60	3	3/4	3/4	0											43
